Config,Accuracy
batch64_lr_max_0.001_min_1e-06_dp0.0,0.9817
batch64_lr_max_0.001_min_1e-05_dp0.1,0.9813
batch64_lr_max_0.001_min_1e-06_dp0.1,0.9813
batch64_lr_max_0.0005_min_1e-06_dp0.0,0.9812
batch64_lr_max_0.001_min_1e-05_dp0.0,0.9810
batch64_lr_max_0.0005_min_1e-05_dp0.1,0.9805
batch64_lr_max_0.001_min_1e-05_dp0.05,0.9801
batch64_lr_max_0.0005_min_1e-06_dp0.05,0.9800
batch64_lr_max_0.001_min_1e-06_dp0.05,0.9799
batch64_lr_max_0.0005_min_1e-06_dp0.1,0.9797
batch64_lr_max_0.0005_min_1e-05_dp0.05,0.9796
batch64_lr_max_0.0005_min_1e-05_dp0.0,0.9782
