Config,Accuracy
batch128_lr_max_0.01_min_1e-05_dp0.0,0.1861
batch128_lr_max_0.0005_min_1e-05_dp0.0,0.1719
batch128_lr_max_0.001_min_1e-05_dp0.0,0.1533
batch128_lr_max_0.001_min_1e-05_dp0.05,0.1481
batch128_lr_max_0.0005_min_1e-05_dp0.05,0.1024
batch256_lr_max_0.01_min_1e-05_dp0.0,0.1016
batch128_lr_max_0.0005_min_1e-05_dp0.1,0.0456
batch128_lr_max_0.001_min_1e-05_dp0.1,0.0429
batch128_lr_max_0.0002_min_1e-05_dp0.1,0.0159
batch128_lr_max_0.0002_min_1e-05_dp0.0,0.0158
batch256_lr_max_0.01_min_1e-05_dp0.05,0.0127
batch512_lr_max_0.01_min_1e-05_dp0.0,0.0114
batch256_lr_max_0.001_min_1e-05_dp0.05,0.0112
batch512_lr_max_0.0005_min_1e-05_dp0.1,0.0112
batch512_lr_max_0.0002_min_1e-05_dp0.05,0.0110
batch256_lr_max_0.0005_min_1e-05_dp0.05,0.0109
batch256_lr_max_0.0005_min_1e-05_dp0.0,0.0108
batch128_lr_max_0.0002_min_1e-05_dp0.05,0.0107
batch256_lr_max_0.001_min_1e-05_dp0.0,0.0107
batch256_lr_max_0.0002_min_1e-05_dp0.1,0.0107
batch512_lr_max_0.0002_min_1e-05_dp0.0,0.0107
batch256_lr_max_0.0002_min_1e-05_dp0.05,0.0106
batch512_lr_max_0.001_min_1e-05_dp0.05,0.0106
batch256_lr_max_0.0005_min_1e-05_dp0.1,0.0105
batch512_lr_max_0.0005_min_1e-05_dp0.0,0.0105
batch512_lr_max_0.001_min_1e-05_dp0.0,0.0103
batch256_lr_max_0.001_min_1e-05_dp0.1,0.0102
batch256_lr_max_0.0002_min_1e-05_dp0.0,0.0101
batch128_lr_max_0.01_min_1e-05_dp0.05,0.0100
batch128_lr_max_0.01_min_1e-05_dp0.1,0.0100
batch256_lr_max_0.01_min_1e-05_dp0.1,0.0100
batch512_lr_max_0.01_min_1e-05_dp0.05,0.0100
batch512_lr_max_0.01_min_1e-05_dp0.1,0.0100
batch512_lr_max_0.001_min_1e-05_dp0.1,0.0100
batch512_lr_max_0.0005_min_1e-05_dp0.05,0.0100
batch512_lr_max_0.0002_min_1e-05_dp0.1,0.0100
