Config,Accuracy
batch256_lr_max_0.0005_min_1e-05_dp0.05,0.5749
batch128_lr_max_0.0002_min_1e-05_dp0.05,0.5748
batch256_lr_max_0.0005_min_1e-05_dp0.0,0.5693
batch256_lr_max_0.0002_min_1e-05_dp0.05,0.5685
batch512_lr_max_0.0005_min_1e-05_dp0.05,0.5655
batch128_lr_max_0.0005_min_1e-05_dp0.0,0.5654
batch128_lr_max_0.0005_min_1e-05_dp0.05,0.5648
batch512_lr_max_0.0002_min_1e-05_dp0.05,0.5645
batch128_lr_max_0.0002_min_1e-05_dp0.0,0.5641
batch256_lr_max_0.0002_min_1e-05_dp0.0,0.5628
batch256_lr_max_0.0002_min_1e-05_dp0.1,0.5624
batch512_lr_max_0.0002_min_1e-05_dp0.1,0.5604
batch512_lr_max_0.0005_min_1e-05_dp0.0,0.5583
batch128_lr_max_0.001_min_1e-05_dp0.05,0.5576
batch128_lr_max_0.0005_min_1e-05_dp0.1,0.5572
batch128_lr_max_0.0002_min_1e-05_dp0.1,0.5567
batch512_lr_max_0.001_min_1e-05_dp0.0,0.5565
batch128_lr_max_0.001_min_1e-05_dp0.1,0.5517
batch512_lr_max_0.0002_min_1e-05_dp0.0,0.5493
batch256_lr_max_0.0005_min_1e-05_dp0.1,0.5369
batch512_lr_max_0.001_min_1e-05_dp0.1,0.5286
batch256_lr_max_0.001_min_1e-05_dp0.0,0.5251
batch128_lr_max_0.001_min_1e-05_dp0.0,0.5208
batch512_lr_max_0.001_min_1e-05_dp0.05,0.5162
batch256_lr_max_0.001_min_1e-05_dp0.1,0.4697
batch256_lr_max_0.001_min_1e-05_dp0.05,0.3481
batch512_lr_max_0.0005_min_1e-05_dp0.1,0.2496
batch512_lr_max_0.01_min_1e-05_dp0.1,0.1680
batch256_lr_max_0.01_min_1e-05_dp0.0,0.0674
batch512_lr_max_0.01_min_1e-05_dp0.0,0.0472
batch128_lr_max_0.01_min_1e-05_dp0.05,0.0433
batch256_lr_max_0.01_min_1e-05_dp0.05,0.0183
batch128_lr_max_0.01_min_1e-05_dp0.0,0.0164
batch512_lr_max_0.01_min_1e-05_dp0.05,0.0122
batch128_lr_max_0.01_min_1e-05_dp0.1,0.0101
batch256_lr_max_0.01_min_1e-05_dp0.1,0.0101
