Config,Accuracy
batch128_lr_max_0.001_min_1e-05_dp0.0,0.1537
batch128_lr_max_0.01_min_1e-05_dp0.0,0.1145
batch128_lr_max_0.0005_min_1e-05_dp0.0,0.1112
batch256_lr_max_0.01_min_1e-05_dp0.05,0.0247
batch128_lr_max_0.0005_min_1e-05_dp0.05,0.0214
batch128_lr_max_0.0002_min_1e-05_dp0.05,0.0197
batch128_lr_max_0.0002_min_1e-05_dp0.0,0.0146
batch128_lr_max_0.001_min_1e-05_dp0.05,0.0130
batch128_lr_max_0.001_min_1e-05_dp0.1,0.0129
batch128_lr_max_0.0005_min_1e-05_dp0.1,0.0129
batch512_lr_max_0.01_min_1e-05_dp0.0,0.0128
batch256_lr_max_0.01_min_1e-05_dp0.1,0.0127
batch256_lr_max_0.0005_min_1e-05_dp0.1,0.0113
batch512_lr_max_0.01_min_1e-05_dp0.05,0.0110
batch256_lr_max_0.0005_min_1e-05_dp0.05,0.0109
batch512_lr_max_0.0005_min_1e-05_dp0.05,0.0109
batch256_lr_max_0.0002_min_1e-05_dp0.0,0.0108
batch256_lr_max_0.0002_min_1e-05_dp0.05,0.0106
batch256_lr_max_0.001_min_1e-05_dp0.1,0.0105
batch256_lr_max_0.0005_min_1e-05_dp0.0,0.0105
batch512_lr_max_0.001_min_1e-05_dp0.0,0.0105
batch512_lr_max_0.0005_min_1e-05_dp0.1,0.0105
batch512_lr_max_0.0002_min_1e-05_dp0.05,0.0105
batch256_lr_max_0.001_min_1e-05_dp0.05,0.0103
batch512_lr_max_0.001_min_1e-05_dp0.05,0.0103
batch512_lr_max_0.001_min_1e-05_dp0.1,0.0103
batch256_lr_max_0.001_min_1e-05_dp0.0,0.0102
batch128_lr_max_0.0002_min_1e-05_dp0.1,0.0101
batch256_lr_max_0.01_min_1e-05_dp0.0,0.0101
batch128_lr_max_0.01_min_1e-05_dp0.05,0.0100
batch128_lr_max_0.01_min_1e-05_dp0.1,0.0100
batch256_lr_max_0.0002_min_1e-05_dp0.1,0.0100
batch512_lr_max_0.01_min_1e-05_dp0.1,0.0100
batch512_lr_max_0.0005_min_1e-05_dp0.0,0.0100
batch512_lr_max_0.0002_min_1e-05_dp0.0,0.0100
batch512_lr_max_0.0002_min_1e-05_dp0.1,0.0100
