Epoch,Batch Size,LR_max,LR_min,Dropout,Accuracy
100,128,0.0010,0.000001,0.1000,0.9505
100,128,0.0010,0.000010,0.1000,0.9503
100,128,0.0010,0.000010,0.0500,0.9497
100,128,0.0005,0.000010,0.0500,0.9488
100,128,0.0005,0.000010,0.1000,0.9485
100,128,0.0010,0.000001,0.0000,0.9481
100,128,0.0005,0.000001,0.1000,0.9479
100,128,0.0010,0.000001,0.0500,0.9477
100,128,0.0005,0.000001,0.0500,0.9474
100,128,0.0005,0.000010,0.0000,0.9467
100,128,0.0005,0.000001,0.0000,0.9460
100,128,0.0010,0.000010,0.0000,0.9457
