Epoch,Batch Size,LR_max,LR_min,Dropout,Accuracy
100,128,0.0010,0.000010,0.1000,0.8909
100,128,0.0010,0.000001,0.1000,0.8908
100,128,0.0005,0.000001,0.0500,0.8899
100,128,0.0005,0.000001,0.1000,0.8894
100,128,0.0005,0.000010,0.1000,0.8891
100,128,0.0005,0.000010,0.0500,0.8870
100,128,0.0010,0.000001,0.0500,0.8870
100,128,0.0010,0.000001,0.0000,0.8861
100,128,0.0010,0.000010,0.0000,0.8860
100,128,0.0010,0.000010,0.0500,0.8860
100,128,0.0005,0.000001,0.0000,0.8827
100,128,0.0005,0.000010,0.0000,0.8824
