Epoch,Batch Size,LR_max,LR_min,Dropout,Accuracy
100,128,0.0010,0.000010,0.1000,0.9504
100,128,0.0010,0.000001,0.1000,0.9504
100,128,0.0005,0.000001,0.1000,0.9494
100,128,0.0005,0.000010,0.1000,0.9488
100,128,0.0010,0.000001,0.0500,0.9479
100,128,0.0010,0.000010,0.0500,0.9478
100,128,0.0005,0.000001,0.0500,0.9478
100,128,0.0005,0.000010,0.0000,0.9476
100,128,0.0010,0.000001,0.0000,0.9473
100,128,0.0005,0.000010,0.0500,0.9469
100,128,0.0010,0.000010,0.0000,0.9467
100,128,0.0005,0.000001,0.0000,0.9460
