Epoch,Batch Size,LR_max,LR_min,Dropout,Accuracy
100,128,0.0010,0.000010,0.1000,0.8802
100,128,0.0010,0.000001,0.0500,0.8753
100,128,0.0005,0.000010,0.1000,0.8692
100,128,0.0005,0.000001,0.0500,0.8641
100,128,0.0005,0.000010,0.0500,0.8572
100,128,0.0010,0.000010,0.0000,0.8560
100,128,0.0005,0.000001,0.0000,0.8498
100,128,0.0005,0.000010,0.0000,0.8440
100,128,0.0010,0.000010,0.0500,0.1994
100,128,0.0010,0.000001,0.1000,0.1963
100,128,0.0005,0.000001,0.1000,0.1961
100,128,0.0010,0.000001,0.0000,0.1959
