Config,Accuracy
batch64_lr_max_0.0005_min_1e-06_dp0.1,0.9820
batch64_lr_max_0.0005_min_1e-05_dp0.05,0.9819
batch64_lr_max_0.0005_min_1e-06_dp0.05,0.9818
batch64_lr_max_0.001_min_1e-06_dp0.05,0.9817
batch64_lr_max_0.0005_min_1e-05_dp0.1,0.9817
batch64_lr_max_0.001_min_1e-06_dp0.0,0.9812
batch64_lr_max_0.001_min_1e-05_dp0.0,0.9811
batch64_lr_max_0.0005_min_1e-05_dp0.0,0.9810
batch64_lr_max_0.0005_min_1e-06_dp0.0,0.9810
batch64_lr_max_0.001_min_1e-05_dp0.1,0.9809
batch64_lr_max_0.001_min_1e-06_dp0.1,0.9806
batch64_lr_max_0.001_min_1e-05_dp0.05,0.9798
