Config,Accuracy
batch64_lr_max_0.001_min_1e-05_dp0.1,0.9821
batch64_lr_max_0.001_min_1e-06_dp0.1,0.9819
batch64_lr_max_0.001_min_1e-05_dp0.05,0.9811
batch64_lr_max_0.0005_min_1e-06_dp0.05,0.9809
batch64_lr_max_0.001_min_1e-06_dp0.05,0.9804
batch64_lr_max_0.0005_min_1e-06_dp0.1,0.9804
batch64_lr_max_0.0005_min_1e-05_dp0.1,0.9801
batch64_lr_max_0.0005_min_1e-05_dp0.05,0.9796
batch64_lr_max_0.001_min_1e-06_dp0.0,0.9792
batch64_lr_max_0.0005_min_1e-05_dp0.0,0.9792
batch64_lr_max_0.001_min_1e-05_dp0.0,0.9788
batch64_lr_max_0.0005_min_1e-06_dp0.0,0.9785
