Config,Accuracy
batch64_lr_max_0.0005_min_1e-05_dp0.1,0.9865
batch64_lr_max_0.001_min_1e-05_dp0.1,0.9863
batch64_lr_max_0.001_min_1e-06_dp0.0,0.9861
batch64_lr_max_0.001_min_1e-06_dp0.05,0.9861
batch64_lr_max_0.001_min_1e-05_dp0.05,0.9860
batch64_lr_max_0.0005_min_1e-05_dp0.0,0.9860
batch64_lr_max_0.001_min_1e-06_dp0.1,0.9859
batch64_lr_max_0.0005_min_1e-06_dp0.1,0.9858
batch64_lr_max_0.001_min_1e-05_dp0.0,0.9856
batch64_lr_max_0.0005_min_1e-05_dp0.05,0.9854
batch64_lr_max_0.0005_min_1e-06_dp0.05,0.9852
batch64_lr_max_0.0005_min_1e-06_dp0.0,0.9850
