Config,Accuracy
batch64_lr_max_0.0005_min_1e-06_dp0.1,0.9859
batch64_lr_max_0.0005_min_1e-05_dp0.1,0.9856
batch64_lr_max_0.001_min_1e-06_dp0.05,0.9854
batch64_lr_max_0.001_min_1e-06_dp0.1,0.9851
batch64_lr_max_0.001_min_1e-05_dp0.1,0.9850
batch64_lr_max_0.0005_min_1e-06_dp0.05,0.9850
batch64_lr_max_0.0005_min_1e-05_dp0.0,0.9849
batch64_lr_max_0.0005_min_1e-05_dp0.05,0.9849
batch64_lr_max_0.001_min_1e-05_dp0.0,0.9845
batch64_lr_max_0.001_min_1e-06_dp0.0,0.9844
batch64_lr_max_0.001_min_1e-05_dp0.05,0.9842
batch64_lr_max_0.0005_min_1e-06_dp0.0,0.9840
