Config,Accuracy
batch64_lr_max_0.001_min_1e-05_dp0.05,0.9824
batch64_lr_max_0.001_min_1e-05_dp0.1,0.9824
batch64_lr_max_0.001_min_1e-05_dp0.0,0.9820
batch64_lr_max_0.001_min_1e-06_dp0.1,0.9818
batch64_lr_max_0.001_min_1e-06_dp0.05,0.9814
batch64_lr_max_0.0005_min_1e-06_dp0.05,0.9803
batch64_lr_max_0.0005_min_1e-06_dp0.0,0.9802
batch64_lr_max_0.0005_min_1e-06_dp0.1,0.9802
batch64_lr_max_0.001_min_1e-06_dp0.0,0.9797
batch64_lr_max_0.0005_min_1e-05_dp0.0,0.9794
batch64_lr_max_0.0005_min_1e-05_dp0.05,0.9793
batch64_lr_max_0.0005_min_1e-05_dp0.1,0.9786
