Config,Accuracy
batch64_lr0.01_0.005_0.001_dp0.2,0.9836
batch64_lr0.01_0.002_0.001_dp0.2,0.9831
batch256_lr0.01_0.005_0.001_dp0.2,0.9826
batch64_lr0.01_0.005_0.002_dp0.2,0.9825
batch128_lr0.01_0.005_0.002_dp0.0,0.9824
batch256_lr0.005_0.002_0.001_dp0.2,0.9823
batch64_lr0.005_0.002_0.001_dp0.2,0.9821
batch128_lr0.005_0.002_0.001_dp0.2,0.9819
batch256_lr0.01_0.005_0.002_dp0.2,0.9819
batch64_lr0.01_0.005_0.001_dp0.0,0.9818
batch128_lr0.01_0.002_0.001_dp0.2,0.9818
batch256_lr0.01_0.005_0.001_dp0.0,0.9816
batch64_lr0.01_0.002_0.001_dp0.0,0.9814
batch128_lr0.01_0.005_0.001_dp0.2,0.9814
batch128_lr0.01_0.005_0.001_dp0.0,0.9812
batch256_lr0.01_0.002_0.001_dp0.2,0.9812
batch128_lr0.01_0.005_0.002_dp0.2,0.9811
batch64_lr0.01_0.005_0.001_dp0.5,0.9810
batch128_lr0.01_0.002_0.001_dp0.0,0.9809
batch64_lr0.01_0.005_0.002_dp0.5,0.9805
batch64_lr0.01_0.002_0.001_dp0.5,0.9805
batch256_lr0.005_0.002_0.001_dp0.5,0.9805
batch128_lr0.01_0.005_0.002_dp0.5,0.9803
batch64_lr0.005_0.002_0.001_dp0.0,0.9802
batch128_lr0.01_0.005_0.001_dp0.5,0.9802
batch128_lr0.01_0.01_0.01_dp0.2,0.9800
batch128_lr0.005_0.002_0.001_dp0.5,0.9800
batch128_lr0.005_0.002_0.001_dp0.0,0.9798
batch256_lr0.01_0.005_0.002_dp0.0,0.9798
batch128_lr0.002_0.002_0.002_dp0.2,0.9796
batch256_lr0.01_0.002_0.001_dp0.0,0.9796
batch256_lr0.005_0.005_0.005_dp0.2,0.9796
batch256_lr0.002_0.002_0.002_dp0.0,0.9796
batch64_lr0.01_0.01_0.01_dp0.2,0.9795
batch64_lr0.005_0.002_0.001_dp0.5,0.9792
batch64_lr0.01_0.005_0.002_dp0.0,0.9791
batch64_lr0.005_0.005_0.005_dp0.2,0.9791
batch128_lr0.01_0.002_0.001_dp0.5,0.9791
batch64_lr0.002_0.002_0.002_dp0.2,0.9789
batch256_lr0.001_0.001_0.001_dp0.2,0.9789
batch256_lr0.01_0.01_0.01_dp0.2,0.9788
batch64_lr0.005_0.005_0.005_dp0.0,0.9787
batch256_lr0.01_0.005_0.002_dp0.5,0.9787
batch256_lr0.01_0.005_0.001_dp0.5,0.9787
batch64_lr0.001_0.001_0.001_dp0.2,0.9786
batch256_lr0.005_0.002_0.001_dp0.0,0.9785
batch64_lr0.005_0.005_0.005_dp0.5,0.9783
batch64_lr0.002_0.002_0.002_dp0.5,0.9782
batch128_lr0.005_0.005_0.005_dp0.2,0.9782
batch256_lr0.01_0.002_0.001_dp0.5,0.9781
batch128_lr0.002_0.002_0.002_dp0.5,0.9780
batch128_lr0.002_0.002_0.002_dp0.0,0.9777
batch128_lr0.005_0.005_0.005_dp0.0,0.9776
batch256_lr0.01_0.01_0.01_dp0.0,0.9775
batch256_lr0.01_0.01_0.01_dp0.5,0.9775
batch128_lr0.005_0.005_0.005_dp0.5,0.9774
batch128_lr0.001_0.001_0.001_dp0.0,0.9774
batch64_lr0.01_0.01_0.01_dp0.5,0.9772
batch256_lr0.001_0.001_0.001_dp0.0,0.9772
batch128_lr0.01_0.01_0.01_dp0.0,0.9770
batch256_lr0.002_0.002_0.002_dp0.2,0.9770
batch128_lr0.01_0.01_0.01_dp0.5,0.9769
batch128_lr0.001_0.001_0.001_dp0.5,0.9769
batch64_lr0.002_0.002_0.002_dp0.0,0.9768
batch64_lr0.001_0.001_0.001_dp0.5,0.9768
batch256_lr0.005_0.005_0.005_dp0.0,0.9767
batch64_lr0.01_0.01_0.01_dp0.0,0.9765
batch128_lr0.001_0.001_0.001_dp0.2,0.9765
batch256_lr0.005_0.005_0.005_dp0.5,0.9765
batch256_lr0.001_0.001_0.001_dp0.5,0.9763
batch256_lr0.002_0.002_0.002_dp0.5,0.9762
batch64_lr0.001_0.001_0.001_dp0.0,0.9759
