Epoch,Batch Size,LR_max,LR_min,Dropout,Accuracy
100,64,0.0005,0.000001,0.1000,0.9048
100,64,0.0010,0.000001,0.0500,0.9043
100,64,0.0010,0.000010,0.0000,0.9039
100,64,0.0005,0.000010,0.1000,0.9039
100,64,0.0010,0.000010,0.0500,0.9032
100,64,0.0010,0.000010,0.1000,0.9027
100,64,0.0005,0.000010,0.0500,0.9027
100,64,0.0010,0.000001,0.1000,0.9026
100,64,0.0010,0.000001,0.0000,0.9023
100,64,0.0005,0.000001,0.0000,0.9020
100,64,0.0005,0.000010,0.0000,0.9019
100,64,0.0005,0.000001,0.0500,0.9016
