Config,Accuracy
batch128_lr_max_0.0005_min_1e-06_dp0.1,0.7250
batch128_lr_max_0.0005_min_1e-05_dp0.05,0.7205
batch128_lr_max_0.001_min_1e-05_dp0.0,0.7204
batch128_lr_max_0.001_min_1e-06_dp0.0,0.7203
batch128_lr_max_0.0005_min_1e-06_dp0.05,0.7196
batch128_lr_max_0.001_min_1e-05_dp0.1,0.7195
batch128_lr_max_0.001_min_1e-06_dp0.1,0.7183
batch256_lr_max_0.0005_min_1e-06_dp0.1,0.7179
batch128_lr_max_0.0005_min_1e-05_dp0.0,0.7175
batch256_lr_max_0.001_min_1e-06_dp0.1,0.7175
batch128_lr_max_0.0005_min_1e-05_dp0.1,0.7169
batch128_lr_max_0.001_min_1e-05_dp0.05,0.7157
batch256_lr_max_0.001_min_1e-05_dp0.05,0.7154
batch256_lr_max_0.001_min_1e-06_dp0.0,0.7139
batch128_lr_max_0.001_min_1e-06_dp0.05,0.7133
batch256_lr_max_0.001_min_1e-06_dp0.05,0.7109
batch128_lr_max_0.0005_min_1e-06_dp0.0,0.7104
batch256_lr_max_0.0005_min_1e-05_dp0.1,0.7103
batch256_lr_max_0.001_min_1e-05_dp0.1,0.7101
batch256_lr_max_0.0005_min_1e-06_dp0.05,0.7074
batch256_lr_max_0.001_min_1e-05_dp0.0,0.7073
batch256_lr_max_0.0005_min_1e-05_dp0.05,0.7072
batch256_lr_max_0.0005_min_1e-06_dp0.0,0.7049
batch256_lr_max_0.0005_min_1e-05_dp0.0,0.7011
