Config,Accuracy
batch128_lr_max_0.001_min_1e-06_dp0.1,0.6625
batch128_lr_max_0.001_min_1e-05_dp0.05,0.6557
batch128_lr_max_0.001_min_1e-06_dp0.01,0.6463
batch128_lr_max_0.001_min_1e-06_dp0.0,0.6354
batch128_lr_max_0.001_min_1e-05_dp0.1,0.6344
batch128_lr_max_0.0005_min_1e-05_dp0.01,0.6298
batch128_lr_max_0.001_min_1e-05_dp0.01,0.6165
batch128_lr_max_0.0005_min_1e-06_dp0.1,0.6133
batch128_lr_max_0.0005_min_1e-06_dp0.01,0.6107
batch256_lr_max_0.001_min_1e-06_dp0.0,0.6058
batch128_lr_max_0.0005_min_1e-06_dp0.0,0.6055
batch256_lr_max_0.001_min_1e-05_dp0.05,0.6055
batch128_lr_max_0.0005_min_1e-06_dp0.05,0.5993
batch256_lr_max_0.001_min_1e-06_dp0.05,0.5941
batch128_lr_max_0.0005_min_1e-05_dp0.0,0.5930
batch128_lr_max_0.0005_min_1e-05_dp0.1,0.5901
batch256_lr_max_0.001_min_1e-05_dp0.01,0.5839
batch256_lr_max_0.001_min_1e-05_dp0.0,0.5743
batch256_lr_max_0.001_min_1e-06_dp0.01,0.5713
batch256_lr_max_0.001_min_1e-06_dp0.1,0.5662
batch128_lr_max_0.0005_min_1e-05_dp0.05,0.5597
batch128_lr_max_0.001_min_1e-05_dp0.0,0.5589
batch512_lr_max_0.001_min_1e-05_dp0.0,0.5536
batch512_lr_max_0.001_min_1e-06_dp0.0,0.5451
batch128_lr_max_0.0002_min_1e-06_dp0.0,0.5283
batch512_lr_max_0.001_min_1e-05_dp0.01,0.5253
batch256_lr_max_0.0005_min_1e-05_dp0.05,0.5186
batch256_lr_max_0.0005_min_1e-05_dp0.01,0.5135
batch512_lr_max_0.001_min_1e-05_dp0.05,0.5090
batch512_lr_max_0.001_min_1e-06_dp0.01,0.4775
batch128_lr_max_0.0002_min_1e-05_dp0.0,0.4610
batch256_lr_max_0.0005_min_1e-05_dp0.1,0.4433
batch128_lr_max_0.0002_min_1e-06_dp0.01,0.4416
batch128_lr_max_0.0002_min_1e-05_dp0.01,0.4275
batch512_lr_max_0.001_min_1e-05_dp0.1,0.4240
batch128_lr_max_0.0002_min_1e-06_dp0.05,0.3550
batch128_lr_max_0.0002_min_1e-05_dp0.05,0.3193
batch256_lr_max_0.0005_min_1e-06_dp0.0,0.2982
batch128_lr_max_0.0002_min_1e-05_dp0.1,0.2907
batch128_lr_max_0.0002_min_1e-06_dp0.1,0.2033
batch256_lr_max_0.0005_min_1e-06_dp0.05,0.1996
batch128_lr_max_0.0001_min_1e-05_dp0.0,0.1570
batch256_lr_max_0.0005_min_1e-05_dp0.0,0.1364
batch128_lr_max_0.0001_min_1e-05_dp0.01,0.1352
batch128_lr_max_0.0001_min_1e-06_dp0.01,0.1325
batch128_lr_max_0.0001_min_1e-06_dp0.0,0.1309
batch128_lr_max_0.001_min_1e-06_dp0.05,0.1261
batch256_lr_max_0.0001_min_1e-05_dp0.0,0.1163
batch256_lr_max_0.0005_min_1e-06_dp0.1,0.1150
batch128_lr_max_0.0001_min_1e-05_dp0.05,0.1140
batch256_lr_max_0.0002_min_1e-05_dp0.0,0.1098
batch256_lr_max_0.0002_min_1e-05_dp0.01,0.1093
