Config,Accuracy
batch128_lr_max_0.001_min_1e-06_dp0.05,0.7031
batch128_lr_max_0.001_min_1e-05_dp0.05,0.6997
batch128_lr_max_0.001_min_1e-06_dp0.1,0.6934
batch128_lr_max_0.0005_min_1e-06_dp0.1,0.6931
batch128_lr_max_0.001_min_1e-05_dp0.1,0.6906
batch128_lr_max_0.001_min_1e-06_dp0.0,0.6884
batch256_lr_max_0.001_min_1e-06_dp0.05,0.6879
batch128_lr_max_0.0005_min_1e-05_dp0.1,0.6860
batch256_lr_max_0.001_min_1e-05_dp0.1,0.6849
batch256_lr_max_0.001_min_1e-05_dp0.05,0.6844
batch128_lr_max_0.0005_min_1e-05_dp0.05,0.6843
batch128_lr_max_0.0005_min_1e-06_dp0.05,0.6836
batch256_lr_max_0.0005_min_1e-06_dp0.05,0.6761
batch128_lr_max_0.001_min_1e-05_dp0.0,0.6758
batch256_lr_max_0.001_min_1e-05_dp0.0,0.6736
batch128_lr_max_0.0005_min_1e-05_dp0.0,0.6610
batch128_lr_max_0.0005_min_1e-06_dp0.0,0.6572
batch256_lr_max_0.0005_min_1e-05_dp0.05,0.6568
batch256_lr_max_0.001_min_1e-06_dp0.1,0.6511
batch256_lr_max_0.001_min_1e-06_dp0.0,0.6489
batch256_lr_max_0.0005_min_1e-05_dp0.0,0.6415
batch256_lr_max_0.0005_min_1e-06_dp0.0,0.6377
batch256_lr_max_0.0005_min_1e-05_dp0.1,0.1039
batch256_lr_max_0.0005_min_1e-06_dp0.1,0.0991
