Config,Accuracy
batch128_lr_max_0.001_min_1e-06_dp0.1,0.7076
batch128_lr_max_0.001_min_1e-05_dp0.05,0.7040
batch128_lr_max_0.001_min_1e-06_dp0.05,0.7006
batch256_lr_max_0.001_min_1e-05_dp0.05,0.6990
batch128_lr_max_0.001_min_1e-05_dp0.1,0.6986
batch256_lr_max_0.001_min_1e-06_dp0.05,0.6985
batch128_lr_max_0.0005_min_1e-06_dp0.05,0.6970
batch128_lr_max_0.001_min_1e-06_dp0.0,0.6920
batch128_lr_max_0.0005_min_1e-05_dp0.05,0.6912
batch128_lr_max_0.001_min_1e-05_dp0.0,0.6908
batch128_lr_max_0.0005_min_1e-06_dp0.1,0.6879
batch128_lr_max_0.0005_min_1e-05_dp0.1,0.6852
batch256_lr_max_0.001_min_1e-06_dp0.0,0.6769
batch256_lr_max_0.001_min_1e-06_dp0.1,0.6746
batch256_lr_max_0.001_min_1e-05_dp0.0,0.6742
batch256_lr_max_0.0005_min_1e-05_dp0.05,0.6722
batch128_lr_max_0.0005_min_1e-06_dp0.0,0.6692
batch256_lr_max_0.0005_min_1e-06_dp0.05,0.6679
batch128_lr_max_0.0005_min_1e-05_dp0.0,0.6398
batch256_lr_max_0.0005_min_1e-06_dp0.0,0.6342
batch256_lr_max_0.001_min_1e-05_dp0.1,0.6152
batch256_lr_max_0.0005_min_1e-05_dp0.0,0.5831
batch256_lr_max_0.0005_min_1e-05_dp0.1,0.5270
batch256_lr_max_0.0005_min_1e-06_dp0.1,0.3371
