Config,Accuracy
batch256_lr_max_0.001_min_1e-05_dp0.0,0.7335
batch128_lr_max_0.001_min_1e-06_dp0.0,0.7324
batch128_lr_max_0.001_min_1e-06_dp0.05,0.7319
batch128_lr_max_0.0005_min_1e-06_dp0.0,0.7318
batch128_lr_max_0.001_min_1e-05_dp0.1,0.7313
batch128_lr_max_0.001_min_1e-05_dp0.05,0.7312
batch256_lr_max_0.001_min_1e-05_dp0.05,0.7303
batch256_lr_max_0.001_min_1e-06_dp0.05,0.7302
batch128_lr_max_0.001_min_1e-05_dp0.0,0.7291
batch256_lr_max_0.001_min_1e-05_dp0.1,0.7283
batch256_lr_max_0.001_min_1e-06_dp0.0,0.7283
batch256_lr_max_0.0005_min_1e-06_dp0.0,0.7282
batch128_lr_max_0.0005_min_1e-06_dp0.05,0.7277
batch128_lr_max_0.0005_min_1e-05_dp0.0,0.7272
batch128_lr_max_0.0005_min_1e-05_dp0.1,0.7269
batch256_lr_max_0.0005_min_1e-06_dp0.05,0.7267
batch256_lr_max_0.0005_min_1e-05_dp0.1,0.7262
batch256_lr_max_0.001_min_1e-06_dp0.1,0.7259
batch256_lr_max_0.0005_min_1e-06_dp0.1,0.7259
batch256_lr_max_0.0005_min_1e-05_dp0.0,0.7258
batch128_lr_max_0.001_min_1e-06_dp0.1,0.7255
batch128_lr_max_0.0005_min_1e-05_dp0.05,0.7252
batch256_lr_max_0.0005_min_1e-05_dp0.05,0.7244
batch128_lr_max_0.0005_min_1e-06_dp0.1,0.7222
