Config,Accuracy
batch128_lr_max_0.001_min_1e-06_dp0.05,0.6573
batch128_lr_max_0.001_min_1e-05_dp0.05,0.6481
batch128_lr_max_0.001_min_1e-06_dp0.0,0.6469
batch128_lr_max_0.001_min_1e-05_dp0.1,0.6145
batch256_lr_max_0.001_min_1e-05_dp0.05,0.6091
batch128_lr_max_0.0005_min_1e-06_dp0.0,0.6087
batch256_lr_max_0.001_min_1e-05_dp0.1,0.6048
batch256_lr_max_0.001_min_1e-06_dp0.05,0.6038
batch128_lr_max_0.001_min_1e-05_dp0.0,0.6028
batch128_lr_max_0.0005_min_1e-06_dp0.05,0.6025
batch128_lr_max_0.0005_min_1e-05_dp0.05,0.5959
batch256_lr_max_0.001_min_1e-06_dp0.1,0.5929
batch256_lr_max_0.001_min_1e-05_dp0.0,0.5924
batch128_lr_max_0.0005_min_1e-05_dp0.0,0.5919
batch256_lr_max_0.001_min_1e-06_dp0.0,0.5767
batch128_lr_max_0.0005_min_1e-05_dp0.1,0.5751
batch256_lr_max_0.0005_min_1e-05_dp0.0,0.5745
batch128_lr_max_0.0005_min_1e-06_dp0.1,0.5578
batch128_lr_max_0.001_min_1e-06_dp0.1,0.5164
batch256_lr_max_0.0005_min_1e-06_dp0.0,0.5148
batch256_lr_max_0.0005_min_1e-05_dp0.05,0.1402
batch256_lr_max_0.0005_min_1e-06_dp0.05,0.1075
batch256_lr_max_0.0005_min_1e-05_dp0.1,0.1019
batch256_lr_max_0.0005_min_1e-06_dp0.1,0.1019
