Config,Accuracy
batch128_lr_max_0.001_min_1e-06_dp0.1,0.6513
batch128_lr_max_0.001_min_1e-06_dp0.05,0.6451
batch128_lr_max_0.001_min_1e-06_dp0.0,0.6376
batch128_lr_max_0.001_min_1e-05_dp0.05,0.6317
batch128_lr_max_0.0005_min_1e-05_dp0.05,0.6268
batch256_lr_max_0.001_min_1e-06_dp0.0,0.6138
batch256_lr_max_0.001_min_1e-05_dp0.0,0.6122
batch256_lr_max_0.001_min_1e-05_dp0.05,0.6117
batch128_lr_max_0.0005_min_1e-06_dp0.05,0.6115
batch128_lr_max_0.001_min_1e-05_dp0.1,0.6064
batch128_lr_max_0.001_min_1e-05_dp0.0,0.6036
batch128_lr_max_0.0005_min_1e-05_dp0.0,0.6030
batch128_lr_max_0.0005_min_1e-06_dp0.1,0.5798
batch256_lr_max_0.001_min_1e-06_dp0.05,0.5731
batch256_lr_max_0.001_min_1e-06_dp0.1,0.5483
batch256_lr_max_0.0005_min_1e-05_dp0.0,0.5478
batch128_lr_max_0.0005_min_1e-05_dp0.1,0.5412
batch256_lr_max_0.0005_min_1e-05_dp0.05,0.5365
batch128_lr_max_0.0005_min_1e-06_dp0.0,0.5286
batch256_lr_max_0.001_min_1e-05_dp0.1,0.5224
batch256_lr_max_0.0005_min_1e-06_dp0.05,0.5154
batch256_lr_max_0.0005_min_1e-06_dp0.1,0.4384
batch256_lr_max_0.0005_min_1e-06_dp0.0,0.4093
batch256_lr_max_0.0005_min_1e-05_dp0.1,0.2895
