Config,Accuracy
batch256_lr_max_0.001_min_1e-06_dp0.0,0.7333
batch128_lr_max_0.001_min_1e-05_dp0.0,0.7328
batch256_lr_max_0.001_min_1e-05_dp0.0,0.7325
batch128_lr_max_0.001_min_1e-06_dp0.0,0.7320
batch128_lr_max_0.001_min_1e-05_dp0.05,0.7315
batch128_lr_max_0.0005_min_1e-05_dp0.05,0.7314
batch128_lr_max_0.0005_min_1e-06_dp0.0,0.7313
batch256_lr_max_0.0005_min_1e-06_dp0.05,0.7311
batch128_lr_max_0.001_min_1e-06_dp0.05,0.7310
batch256_lr_max_0.001_min_1e-06_dp0.05,0.7310
batch256_lr_max_0.0005_min_1e-05_dp0.0,0.7298
batch128_lr_max_0.0005_min_1e-05_dp0.0,0.7279
batch128_lr_max_0.0005_min_1e-06_dp0.05,0.7279
batch256_lr_max_0.0005_min_1e-06_dp0.0,0.7278
batch256_lr_max_0.0005_min_1e-05_dp0.05,0.7276
batch256_lr_max_0.001_min_1e-05_dp0.1,0.7275
batch256_lr_max_0.001_min_1e-05_dp0.05,0.7271
batch256_lr_max_0.0005_min_1e-06_dp0.1,0.7265
batch128_lr_max_0.001_min_1e-05_dp0.1,0.7264
batch128_lr_max_0.001_min_1e-06_dp0.1,0.7264
batch256_lr_max_0.0005_min_1e-05_dp0.1,0.7260
batch128_lr_max_0.0005_min_1e-06_dp0.1,0.7253
batch256_lr_max_0.001_min_1e-06_dp0.1,0.7246
batch128_lr_max_0.0005_min_1e-05_dp0.1,0.7242
