Config,Accuracy
batch128_lr_max_0.001_min_1e-06_dp0.05,0.6695
batch128_lr_max_0.001_min_1e-05_dp0.05,0.6612
batch128_lr_max_0.001_min_1e-06_dp0.1,0.6566
batch128_lr_max_0.0005_min_1e-06_dp0.1,0.6412
batch128_lr_max_0.001_min_1e-06_dp0.0,0.6306
batch128_lr_max_0.0005_min_1e-05_dp0.05,0.6188
batch128_lr_max_0.001_min_1e-05_dp0.0,0.6184
batch256_lr_max_0.001_min_1e-05_dp0.0,0.6179
batch128_lr_max_0.0005_min_1e-06_dp0.05,0.6123
batch256_lr_max_0.001_min_1e-06_dp0.05,0.6103
batch128_lr_max_0.0005_min_1e-06_dp0.0,0.6030
batch128_lr_max_0.0005_min_1e-05_dp0.1,0.5923
batch256_lr_max_0.001_min_1e-05_dp0.05,0.5920
batch128_lr_max_0.001_min_1e-05_dp0.1,0.5850
batch256_lr_max_0.001_min_1e-06_dp0.0,0.5807
batch128_lr_max_0.0005_min_1e-05_dp0.0,0.5624
batch256_lr_max_0.001_min_1e-06_dp0.1,0.5612
batch256_lr_max_0.001_min_1e-05_dp0.1,0.5588
batch256_lr_max_0.0005_min_1e-06_dp0.1,0.4502
batch256_lr_max_0.0005_min_1e-05_dp0.1,0.4125
batch256_lr_max_0.0005_min_1e-05_dp0.05,0.4051
batch256_lr_max_0.0005_min_1e-06_dp0.0,0.3990
batch256_lr_max_0.0005_min_1e-06_dp0.05,0.3975
batch256_lr_max_0.0005_min_1e-05_dp0.0,0.2160
