Epoch,Batch Size,LR_max,LR_min,Dropout,Accuracy
100,128,0.0010,0.000010,0.0500,0.7059
100,128,0.0010,0.000001,0.0500,0.7039
100,128,0.0010,0.000001,0.0000,0.6952
100,128,0.0005,0.000010,0.0000,0.6949
100,128,0.0005,0.000010,0.0500,0.6925
100,128,0.0010,0.000010,0.0000,0.6917
100,128,0.0005,0.000001,0.0500,0.6898
100,128,0.0005,0.000001,0.0000,0.6730
100,128,0.0010,0.000010,0.1000,0.2027
100,128,0.0005,0.000001,0.1000,0.1960
100,128,0.0010,0.000001,0.1000,0.1960
100,128,0.0005,0.000010,0.1000,0.1958
