Epoch,Batch Size,LR_max,LR_min,Dropout,Accuracy
100,128,0.0010,0.000010,0.1000,0.9493
100,128,0.0010,0.000010,0.0500,0.9486
100,128,0.0010,0.000001,0.0500,0.9479
100,128,0.0010,0.000001,0.1000,0.9478
100,128,0.0005,0.000001,0.1000,0.9458
100,128,0.0005,0.000010,0.1000,0.9457
100,128,0.0010,0.000001,0.0000,0.9448
100,128,0.0005,0.000001,0.0500,0.9436
100,128,0.0010,0.000010,0.0000,0.9429
100,128,0.0005,0.000010,0.0500,0.9414
100,128,0.0005,0.000001,0.0000,0.9400
100,128,0.0005,0.000010,0.0000,0.9385
