Epoch,Batch Size,LR_max,LR_min,Dropout,Accuracy
100,128,0.0010,0.000001,0.1000,0.7207
100,128,0.0010,0.000010,0.1000,0.7177
100,128,0.0005,0.000010,0.1000,0.7164
100,128,0.0005,0.000001,0.1000,0.7163
100,128,0.0010,0.000010,0.0500,0.7129
100,128,0.0010,0.000001,0.0500,0.7120
100,128,0.0005,0.000001,0.0500,0.7110
100,128,0.0005,0.000010,0.0500,0.7074
100,128,0.0010,0.000001,0.0000,0.7073
100,128,0.0010,0.000010,0.0000,0.7025
100,128,0.0005,0.000010,0.0000,0.6997
100,128,0.0005,0.000001,0.0000,0.6979
